title_len,title_unique,text_len,text_unique,avg_sentence_len,neg,neu,pos,real?
65,6,458,41,25,0.084,0.875,0.042,1
65,7,1989,158,20,0.132,0.818,0.049,1
69,9,462,32,24,0.163,0.837,0.0,1
124,12,4382,294,32,0.039,0.916,0.046,0
58,6,1846,134,20,0.055,0.816,0.129,1
90,12,1432,116,42,0.067,0.821,0.112,0
67,9,2878,193,20,0.098,0.844,0.058,0
74,11,3192,218,29,0.114,0.817,0.069,1
67,9,4684,334,23,0.061,0.816,0.123,1
84,11,2318,165,54,0.116,0.836,0.048,0
68,7,1762,140,26,0.167,0.806,0.027,1
104,12,2767,204,29,0.024,0.862,0.114,0
64,9,3357,265,21,0.055,0.849,0.095,1
74,8,677,57,17,0.0,0.902,0.098,1
80,10,364,34,30,0.046,0.908,0.046,1
64,9,4077,264,22,0.026,0.884,0.09,1
91,8,2381,278,22,0.009,0.903,0.088,0
143,16,1687,119,45,0.106,0.827,0.068,0
68,9,2495,203,21,0.046,0.9,0.054,1
72,8,348,31,16,0.0,1.0,0.0,1
70,10,630,48,34,0.108,0.748,0.143,1
68,7,3767,276,26,0.15,0.778,0.072,1
70,9,5686,376,23,0.095,0.849,0.056,1
93,12,2378,154,24,0.072,0.848,0.079,0
67,8,5384,399,25,0.072,0.859,0.069,1
64,8,2611,189,22,0.041,0.803,0.155,1
68,10,420,39,34,0.148,0.852,0.0,1
136,16,8358,456,52,0.102,0.851,0.046,0
68,8,779,60,27,0.07,0.774,0.155,1
71,8,2109,149,19,0.122,0.819,0.059,1
63,7,3319,233,21,0.074,0.86,0.066,1
76,10,2604,144,32,0.029,0.91,0.062,0
59,7,1819,132,28,0.135,0.701,0.165,0
76,11,2892,201,27,0.072,0.88,0.048,0
63,8,6098,414,20,0.062,0.876,0.063,1
67,9,2890,181,18,0.19,0.71,0.101,1
77,9,2128,143,18,0.165,0.731,0.104,0
75,10,416,35,22,0.043,0.921,0.036,1
63,7,2085,158,49,0.205,0.763,0.032,0
117,14,6948,421,36,0.132,0.786,0.083,0
90,10,3067,193,47,0.096,0.808,0.096,0
135,12,3404,216,31,0.063,0.856,0.08,0
82,10,2555,191,31,0.163,0.666,0.171,0
63,8,2596,190,23,0.082,0.825,0.094,1
52,5,21939,1109,25,0.071,0.814,0.115,0
57,7,2584,194,23,0.123,0.774,0.103,1
53,8,2304,207,19,0.052,0.856,0.091,1
61,8,1450,112,22,0.095,0.879,0.026,1
77,9,4413,307,25,0.061,0.812,0.128,1
60,8,1666,127,19,0.038,0.873,0.089,1
