title_len,title_unique,text_len,text_unique,avg_sentence_len,neg,neu,pos,real?
79,9,2893,183,35,0.143,0.705,0.153,0
69,8,1898,145,23,0.089,0.834,0.077,0
90,11,3597,241,27,0.15,0.792,0.057,0
78,8,2774,185,29,0.078,0.878,0.045,0
70,7,2346,166,22,0.074,0.848,0.078,0
82,9,1741,129,24,0.182,0.753,0.066,0
83,10,2166,137,25,0.072,0.88,0.048,0
87,10,2224,162,71,0.126,0.81,0.065,0
102,14,2772,206,29,0.066,0.842,0.092,0
81,9,1644,121,28,0.142,0.702,0.156,0
68,8,2003,149,29,0.136,0.812,0.052,0
94,12,1625,119,35,0.077,0.84,0.083,0
76,10,2252,170,16,0.072,0.767,0.161,0
91,10,1579,102,20,0.082,0.854,0.063,0
73,11,2795,192,19,0.126,0.738,0.136,0
78,10,2103,161,26,0.116,0.767,0.116,0
75,9,2979,200,27,0.027,0.902,0.071,0
58,6,1988,134,24,0.048,0.875,0.076,0
89,13,2623,182,29,0.151,0.726,0.123,0
63,7,2817,190,26,0.06,0.836,0.104,0
92,11,2932,203,34,0.128,0.759,0.113,0
85,11,2023,155,22,0.192,0.734,0.073,0
86,10,1909,139,20,0.162,0.739,0.098,0
93,10,1594,131,25,0.084,0.837,0.08,0
86,10,1859,121,28,0.086,0.893,0.021,0
97,11,2280,170,22,0.111,0.82,0.069,0
88,11,2017,139,26,0.127,0.786,0.087,0
95,10,2808,195,31,0.097,0.865,0.038,0
79,11,2109,143,47,0.188,0.747,0.066,0
70,8,2750,196,18,0.073,0.83,0.098,0
88,11,2102,158,23,0.137,0.748,0.115,0
49,5,2551,188,28,0.048,0.904,0.048,0
86,9,2599,190,38,0.114,0.834,0.052,0
68,5,3051,223,22,0.128,0.828,0.044,0
91,10,1762,132,24,0.082,0.834,0.084,0
83,9,1657,117,24,0.069,0.838,0.093,0
85,8,2243,175,22,0.095,0.81,0.095,0
90,9,2518,204,46,0.079,0.846,0.075,0
91,11,4039,273,48,0.134,0.773,0.093,0
