title_len,title_unique,text_len,text_unique,avg_sentence_len,neg,neu,pos,real?
64,8,4659,326,21,0.049,0.863,0.088,1
64,7,4077,260,23,0.084,0.825,0.091,1
60,8,2789,184,24,0.05,0.906,0.044,1
59,8,2461,171,20,0.067,0.874,0.059,1
69,9,5204,345,23,0.045,0.894,0.061,1
64,7,3707,278,23,0.057,0.84,0.103,1
63,8,3220,248,18,0.073,0.813,0.114,1
60,8,856,68,11,0.098,0.77,0.132,1
42,6,632,53,15,0.016,0.886,0.099,1
76,9,408,41,22,0.034,0.87,0.096,1
58,8,2373,170,17,0.107,0.835,0.058,1
73,8,3829,261,21,0.043,0.89,0.067,1
65,9,599,52,12,0.063,0.866,0.071,1
46,6,1198,82,15,0.052,0.888,0.059,1
67,10,2112,158,23,0.071,0.837,0.092,1
78,9,2732,211,29,0.034,0.909,0.056,1
72,9,4296,255,20,0.033,0.893,0.074,1
57,9,1103,90,18,0.04,0.838,0.122,1
63,9,2504,199,25,0.084,0.866,0.051,1
77,9,1260,100,19,0.073,0.918,0.009,1
65,8,3340,229,20,0.053,0.841,0.106,1
82,9,5767,391,39,0.081,0.843,0.076,1
72,9,2487,171,19,0.128,0.791,0.081,1
68,9,2322,162,19,0.078,0.876,0.045,1
55,7,4380,308,23,0.095,0.769,0.137,1
51,7,2312,190,20,0.04,0.874,0.086,1
64,8,2181,156,20,0.072,0.911,0.017,1
57,9,1638,141,20,0.073,0.797,0.129,1
64,7,430,32,17,0.04,0.96,0.0,1
50,6,2810,203,25,0.024,0.856,0.12,1
59,7,1048,90,14,0.046,0.884,0.071,1
53,6,1375,118,24,0.014,0.843,0.143,1
63,9,595,49,17,0.0,0.944,0.056,1
68,8,2039,160,20,0.068,0.868,0.064,1
93,10,6754,442,21,0.081,0.788,0.131,1
78,9,5183,331,24,0.05,0.86,0.09,1
67,9,3423,258,23,0.053,0.879,0.067,1
61,7,2933,220,18,0.062,0.822,0.116,1
59,7,2933,206,20,0.07,0.86,0.07,1
49,7,600,49,19,0.095,0.852,0.053,1
48,8,1079,96,18,0.131,0.714,0.155,1
61,8,2055,136,26,0.103,0.844,0.053,1
76,11,3696,252,17,0.083,0.853,0.064,1
48,7,402,34,13,0.047,0.775,0.177,1
56,7,2663,194,24,0.101,0.823,0.075,1
65,9,2447,179,22,0.059,0.86,0.08,1
55,7,3777,264,26,0.038,0.856,0.106,1
71,8,2259,171,19,0.038,0.869,0.094,1
66,8,467,46,13,0.092,0.828,0.079,1
63,8,2627,196,26,0.072,0.784,0.144,1
53,7,486,44,15,0.034,0.94,0.026,1
67,9,5834,398,24,0.056,0.86,0.084,1
46,8,4004,290,23,0.061,0.843,0.096,1
66,8,2675,194,25,0.053,0.851,0.096,1
50,6,2527,204,26,0.109,0.823,0.068,1
63,7,2365,172,23,0.079,0.86,0.062,1
45,6,1442,110,19,0.097,0.832,0.071,1
68,8,1030,91,31,0.051,0.832,0.117,1
79,10,2480,170,32,0.068,0.843,0.089,1
68,10,3892,262,25,0.065,0.855,0.08,1
65,7,3076,203,24,0.035,0.878,0.088,1
51,8,1479,120,21,0.056,0.926,0.018,1
64,8,5098,356,23,0.086,0.783,0.131,1
65,6,2224,170,28,0.045,0.901,0.054,1
63,7,3803,290,25,0.061,0.846,0.093,1
65,10,3924,273,20,0.053,0.875,0.073,1
59,6,8181,533,24,0.048,0.843,0.108,1
66,8,2627,200,21,0.037,0.869,0.094,1
65,8,2528,170,26,0.087,0.853,0.06,1
77,10,773,64,26,0.033,0.967,0.0,1
36,6,1317,108,14,0.078,0.766,0.155,1
39,5,7018,437,19,0.033,0.883,0.084,1
52,7,430,42,16,0.029,0.897,0.074,1
73,10,423,41,32,0.0,0.959,0.041,1
69,8,3737,239,28,0.018,0.859,0.123,1
